DIVISIONS                  Task divisions (thoughts)

Abstract                   Design, and the untangible
Code                       Systems, coding, and tech
Visual                     Graphics, video, and images
Audio                      Music and audio
Personal                   Maintenance, personal curiosities, and mindless tasks
None                       Nothing

TASKS                      Task types (actions)

Design                     Project Planning, Research, and Organization
Development                Programming, Testing, Math, and Debugging
Writing                    Narrative, Research, Documentation, and Communication
Linguistics                Language Development
Graphic                    2D Graphic Development
Illustration               Drawing
3D                         Generation, Animation, Lighting, and Rendering
Modeling                   Modeling, Sculpting, Rigging, Texturing
Videography                Video Filming and Editing
Photography                Picture Taking and Editing
Composition                Composing, Producing, and Mixing
Acoustic                   Instrument Play and Recording
Performance                Audio and Visual Performance
Research                   Learning, Testing, Studying, and Teaching
Maintenance                Personal Organization and Maintenance
Event                      Noteworthy Event
None                       Nothing

#ARCH PROJECTS             Overarching activities that are individually too small to be considered as projects but add up to significant amounts of time, long-term

#Study                     Learning activities
#Jam                       Audio activities (audio)
#Doodle                    Visual activities (visual)
#Tinker                    Development and design activities (code / abstract)
#Various                   Other activities (given to activities unique and unpopular enough to not have an overarching project designation)
#None                      Nothing

DATE         TIME  PROJECT                       TASK              DIVISION        DETAILS
2017.10.11   1.5   Eyebat                        Modeling          Visual          UV unwrapping.
2017.10.11   2.5   Doodle                        Modeling          Visual          UV unwrapping.
2017.10.11   1.0   Study                         Research          Abstract        Alternative social media interfacing.
2017.10.10   1.5   Study                         Research          Audio           Synthesizers and synthesis.
2017.10.10   2.0   TA253                         Research          Code            Code help.
2017.10.10   3.5   Study                         Research          Abstract        Design, game design, loop of execution and evaluation.
2017.10.09   4.0   Tinker                        Development       Code            HTML and CSS teaching.
2017.10.09   4.0   Atomic AI                     3D                Visual          Modifier experimentation and rendering (2).
2017.10.09   2.5   Study                         3D                Visual          Texturing and experimental modeling.
2017.10.08   2.0   V-OS                          Development       Visual          Styling experimentation.
2017.10.08   1.5   Various                       Performance       Abstract        DPWS Battlefront 2 stream.
2017.10.08   1.0   Atomic AI                     3D                Visual          Modifier experimentation and rendering (1).
2017.10.07   0.5   Study                         Research          Abstract        Chess game strategization.
2017.10.07   3.5   V-OS                          Writing           Abstract        Documentation and verse writing.
2017.10.07   3.0   Wite                          Development       Code            Feed and profile styling, faux chat implementation.
2017.10.06   1.0   Study                         Research          Abstract        Storytelling.
2017.10.06   3.0   Wite                          Development       Code            Feed and profile implementation, styling.
2017.10.06   2.5   TA253                         Research          Code            Correction.
2017.10.06   1.5   Perfectus Empatheia           Writing           Abstract        Design review.
2017.10.06   0.5   Doodle                        Graphic           Visual          Give me milk logo rework.
2017.10.05   0.5   Doodle                        3D                Visual          Give me milk UV map.
2017.10.05   1.5   Doodle                        Graphic           Visual          Give me milk logo.
2017.10.05   2.5   Study                         Research          Abstract        Technosphere and personal development, emergence and complex systems, ludology and narratology, religion and intellectualism.
2017.10.05   0.0   Various                       Event             Personal        Obx interview and boarding.
2017.10.04   0.5   Doodle                        Graphic           Visual          Give me milk logo.
2017.10.04   3.0   Study                         Modeling          Visual          UVs.
2017.10.04   3.5   Wite                          Development       Code            Modular interfacing engine.
2017.10.03   2.0   Wite                          Development       Code            Modular interfacing engine.
2017.10.03   2.5   Study                         Research          Audio           MaxMSP.
2017.10.03   2.0   TA253                         Research          Code            Code help.
2017.10.03   1.5   Perfectus Empatheia           Design            Abstract        Testing and feedback.
2017.10.02   1.0   Wite                          Development       Code            Modular interfacing engine.
2017.10.02   0.5   Wite                          Research          Code            Modular interfacing engine.
2017.10.02   1.5   Perfectus Empatheia           Design            Visual          Priting and organizing.
2017.10.02   0.5   Jam                           Acoustic          Audio           Guitar and keyboard.
2017.10.02   1.0   Purity                        Development       Code            Small formatting fixes.
2017.10.02   0.5   LOGO                          Development       Code            Add index.
2017.10.01   2.0   Perfectus Empatheia           Graphic           Visual          Visuals cleanup, print sheets.
2017.10.01   1.0   V-OS                          Development       Code            Styling fixes.
2017.10.01   1.5   LOGO                          Development       Code            Refactoring, add explore functionality.
2017.10.01   0.5   Purity                        Development       Code            Separating Purity from V-OS. Now independant projects.
2017.10.01   5.5   Log                           Development       Code            Refactoring.
2017.09.30   4.0   TA253                         Research          Code            Correction.
2017.09.30   6.5   LOGO                          Development       Code            Add logs functionality.
2017.09.30   1.0   Eyebat                        Modeling          Visual          Eyebat modeling.
2017.09.29   1.0   Study                         Research          Abstract        User interfacing, game psychology.
2017.09.29   1.0   Study                         Research          Abstract        User interfacing, game psychology.
2017.09.29   1.0   LOGO                          Research          Code            Local commands implementation.
2017.09.29   3.0   LOGO                          Development       Code            Local commands implementation.
2017.09.29   1.0   LOGO                          Design            Abstract        Basic setup and speech.
2017.09.29   0.5   Perfectus Empatheia           Writing           Visual          Documentation and communication.
2017.09.29   2.5   Perfectus Empatheia           Graphic           Visual          Logo and visual support for instructions.
2017.09.28   1.5   Purity                        Development       Code            Add executable PHP parsing.
2017.09.28   3.0   Perfectus Empatheia           Design            Abstract        Journal entry, card quantity change and testing, rule examples refinement.
2017.09.28   1.0   Perfectus Empatheia           Design            Visual          Iconography.
2017.09.28   3.5   Perfectus Empatheia           Graphic           Visual          Iconography.
2017.09.27   0.5   Rig                           Maintenance       Personal        Update backup.
2017.09.27   1.0   Study                         Research          Abstract        Manifold Garden testing.
2017.09.27   1.0   Perfectus Empatheia           Design            Abstract        Task delegation, time organization, planning.
2017.09.27   3.5   Eyebat                        Modeling          Visual          Eyebat modeling.
2017.09.27   1.0   Study                         Research          Abstract        Net art review.
2017.09.26   1.5   Study                         Research          Audio           Acoustic awareness.
2017.09.26   2.0   TA253                         Research          Code            Code helping.
2017.09.26   3.5   Perfectus Empatheia           Design            Abstract        Game testing.
2017.09.25   1.0   Study                         Research          Personal        Online dating.
2017.09.25   4.0   DotCycle                      Design            Abstract        Level design, release build, testing, documentation.
2017.09.25   0.5   V-OS                          Design            Abstract        Review and section reorganization.
2017.09.24   0.5   DotCycle                      Writing           Abstract        Story revison.
2017.09.24   6.5   DotCycle                      Design            Abstract        Level design.
2017.09.24   0.5   Log                           Design            Visual          Color resample, graph tweaking.
2017.09.23   3.0   DotCycle                      Design            Abstract        Level design.
2017.09.23   2.5   DotCycle                      Composition       Audio           Sound composition.
2017.09.23   2.0   Study                         Research          Abstract        Game design, level design, indie game development.
2017.09.23   1.5   V-OS                          Writing           Abstract        Rewrites.
2017.09.23   0.5   Study                         Research          Audio           Role of silence in acoustic composition and life.
2017.09.22   1.0   DotCycle                      Composition       Audio           Sound composition.
2017.09.22   0.5   Study                         Research          Abstract        Game design study.
2017.09.22   1.0   Study                         Development       Code            MaxMSP.
2017.09.22   0.5   Doodle                        Graphic           Visual          FLOP cover photo.
2017.09.22   2.0   Perfectus Empatheia           Graphic           Visual          Visual instructions.
2017.09.21   2.0   DotCycle                      Design            Abstract        Level design.
2017.09.21   3.0   Eyebat                        Modeling          Visual          Eyebat modelling.
2017.09.21   1.0   Perfectus Empatheia           Writing           Abstract        Design journal.
2017.09.20   1.5   Study                         Research          Abstract        Ryan Whittier Hale art.
2017.09.20   0.5   Study                         Research          Code            Microprocessors.
2017.09.20   4.0   Eyebat                        Modeling          Visual          Shoe and eyebat modeling.
2017.09.20   0.5   V-OS                          Design            Abstract        Tiny updates.
2017.09.20   0.5   Doodle                        Graphic           Visual          Truli rework and selection update.
2017.09.19   2.0   Study                         Research          Audio           MaxMSP, analog synths, acoustics.
2017.09.19   2.0   TA253                         Research          Code            Git and coding help.
2017.09.19   3.0   Perfectus Empatheia           Design            Abstract        Game testing.
2017.09.18   1.0   DotCycle                      Design            Abstract        Level design.
2017.09.18   1.0   Study                         Research          Abstract        Kingdom: New Lands gameplay analysis.
2017.09.18   1.0   Perfectus Empatheia           Design            Abstract        Testing, documentation.
2017.09.17   0.5   DotCycle                      Design            Abstract        Level design.
2017.09.17   1.0   DotCycle                      Writing           Abstract        Story writing.
2017.09.17   3.5   Perfectus Empatheia           Design            Abstract        Deck composition, deck creation, testing.
2017.09.17   0.5   Perfectus Empatheia           Graphic           Visual          Iconography design and production.
2017.09.16   1.5   Perfectus Empatheia           Writing           Abstract        Rule writing.
2017.09.16   2.0   Perfectus Empatheia           Design            Abstract        Game design.
2017.09.16   0.5   DotCycle                      Design            Abstract        Level design.
2017.09.16   8.0   DotCycle                      Development       Code            Shading, camera, movement, and event system, rendering, build.
2017.09.15   1.0   Perfectus Empatheia           Graphic           Visual          Iconography design and production.
2017.09.15   5.0   Perfectus Empatheia           Design            Abstract        Game design.
2017.09.15   0.5   Doodle                        3D                Visual          Shark lighting, texturing, rendering.
2017.09.15   2.5   Doodle                        Modeling          Visual          Shark modeling.
2017.09.14   1.0   DotCycle                      Development       Code            Shader code.
2017.09.14   2.0   DotCycle                      Research          Code            Shader code.
2017.09.14   2.0   Perfectus Empatheia           Design            Abstract        Game design.
2017.09.14   1.0   Study                         Research          Abstract        Math types, information architecture on the web.
2017.09.13   0.5   DotCycle                      Research          Code            Shader code.
2017.09.13   0.5   Study                         Research          Abstract        Postmodernist philosophy.
2017.09.13   3.5   Doodle                        Modeling          Visual          Hard-surface modeling.
2017.09.13   2.0   Study                         Research          Abstract        Net art history.
2017.09.12   2.0   Tinker                        Development       Code            MaxMSP programming.
2017.09.12   1.5   Study                         Research          Audio           Audio engineering and acoustic environments.
2017.09.12   0.5   TA253                         Research          Code            Coding help.
2017.09.12   3.5   Study                         Research          Abstract        Games, play.
2017.09.11   3.0   Dentatsuna                    3D                Visual          Texturing, lighting, rendering.
2017.09.11   1.5   Dentatsuna                    Modeling          Visual          Environment modeling.
2017.09.11   0.5   Study                         Research          Audio           Adaptability of creativity in audio.
2017.09.11   1.5   Perfectus Empatheia           Research          Abstract        Game design reading, dominos study, journal writing.
2017.09.10   5.5   Dentatsuna                    3D                Visual          Texturing, lighting, rendering.
2017.09.10   3.5   Dentatsuna                    Modeling          Visual          Environment modeling.
2017.09.09   0.5   Seven                         Development       Code            Easing, web release.
2017.09.09   1.0   Purity                        Development       Code            Line endings, site hosting platforms.
2017.09.09   3.0   Purity                        Development       Code            Visual redesign, optimization.
2017.09.09   1.5   Study                         Research          Abstract        Information design, and net art.
2017.09.08   0.5   Acid Archives                 Composition       Audio           Experimentation.
2017.09.08   2.0   Various                       Performance       Abstract        DPWS Rocket League stream.
2017.09.08   0.5   Study                         Research          Code            MaxMSP study.
2017.09.07   0.5   Study                         Research          Abstract        Quest design study.
2017.09.07   1.0   Study                         Development       Code            MaxMSP study.
2017.09.07   1.0   TA253                         Research          Abstract        Curriculum and class design review.
2017.09.06   0.5   Acid Archives                 Research          Audio           Mood experimentation and research.
2017.09.06   3.0   Doodle                        Modeling          Visual          Hard-surface modeling.
2017.09.06   1.0   Tinker                        Development       Code            CART351 site setup.
2017.09.06   1.0   Purity                        Development       Code            PHP 7.0 debugging.
2017.09.06   0.5   Acid Archives                 Research          Abstract        Acid archives story.
2017.09.05   0.5   Acid Archives                 Graphic           Visual          Acid archives logo creation.
2017.09.05   1.0   Tinker                        Research          Code            MaxMSP study.
2017.09.05   2.5   Study                         Research          Audio           Sound theory.
2017.09.05   3.5   Study                         Research          Abstract        Game design theory.
2017.09.05   0.5   Visor                         Development       Code            Manual file upload.
2017.09.05   1.5   Visor                         Research          Code            Manual file upload.
2017.09.05   0.0   Various                       Event             Personal        Semester beginning.
2017.09.04   1.0   Study                         Research          Abstract        Storytelling, writing study.
2017.09.03   0.5   Study                         Research          Abstract        Game exploration design.
2017.09.02   0.5   Log                           Development       Visual          Measures layout and sizing tinkering.
2017.09.02   1.0   Study                         Research          Abstract        Game progression, dialog systems, and exploration.
2017.09.02   0.5   Study                         Research          Personal        Console emulation.
2017.09.01   0.5   Study                         Research          Personal        Art construction.
2017.09.01   2.0   Log                           Development       Code            Refactoring, graph visualization rework.
2017.08.31   1.0   Log                           Development       Visual          Visual redesign and reorganization, page layout tinkering.
2017.08.31   5.0   Log                           Development       Code            Graph backend rework, empty log implementation, refactoring.
2017.08.30   0.5   Study                         Research          Abstract        Combat systems.
2017.08.30   0.5   Seven                         Design            Code            Clean-up, web version documentation.
2017.08.30   1.0   V-OS                          Development       Visual          Testing new headers.
2017.08.30   3.5   V-OS                          Research          Visual          Testing new headers.
2017.08.29   1.5   V-OS                          Writing           Abstract        Rewrites and cleanup.
2017.08.29   2.0   V-OS                          Design            Visual          Visual overhaul.
2017.08.29   0.5   Purity                        Development       Code            Small pageflow fix.
2017.08.28   0.0   Various                       Development       Visual          Visual overhaul.
2017.08.28   4.0   V-OS                          Development       Visual          Visual overhaul.
2017.08.28   2.0   V-OS                          Design            Visual          Visual overhaul.
2017.08.28   0.5   Purity                        Development       Code            Small pageflow fix.
2017.08.28   0.5   Rotonde                       Design            Abstract        Rotonde standard and specs.
2017.08.28   1.0   Study                         Research          Personal        Exercise routines.
2017.08.28   1.0   Study                         Research          Personal        Mixed martial arts fighting.
2017.08.27   0.5   Doodle                        3D                Visual          Texture and rendering.
2017.08.27   1.0   Rotonde                       Design            Code            Rotonde standard and specs.
2017.08.27   2.5   Rotonde                       Research          Code            Cross-domain request research.
2017.08.26   1.5   Rig                           Research          Code            Linux set up and tinkering.
2017.08.26   3.0   Rotonde                       Research          Code            Cross-domain request research.
2017.08.25   8.5   Rotonde                       Development       Code            Rewrite client in javascript.
2017.08.25   0.5   Study                         Research          Personal        Stunts.
2017.08.24   1.0   Study                         Research          Personal        Nutrition.
2017.08.24   0.5   Jam                           Acoustic          Audio           Vocals.
2017.08.24   1.0   DimoRat                       Development       Code            Collisions and damage.
2017.08.24   1.0   Rig                           Research          Code            Linux set up and tinkering.
2017.08.23   6.5   Rig                           Research          Code            Linux set up and tinkering.
2017.08.22   4.5   Rig                           Research          Abstract        Linux set up and tinkering.
2017.08.22   0.5   Study                         Research          Code            Operating systems.
2017.08.22   1.5   Rotonde                       Development       Code            Styling, original json access, position per post data.
2017.08.22   0.5   Log                           Research          Code            Shell scripting.
2017.08.21   0.5   Log                           Research          Code            Shell scripting.
2017.08.21   2.0   Flora                         Photography       Visual          Picture taking, organization, and editing.
2017.08.21   1.5   Rotonde                       Development       Code            Styling, connection check, documentation.
2017.08.20   2.5   Log                           Research          Code            Shell scripting, command-line mySQL updating and git control.
2017.08.20   2.5   Rotonde                       Development       Code            Rotonde study and client hacking.
2017.08.20   2.0   DimoRat                       Development       Code            UI and collisions.
2017.08.19   1.0   Log                           Development       Code            Documentation, small automations.
2017.08.19   0.5   Rig                           Maintenance       Personal        Update backup.
2017.08.19   0.5   Doodle                        Videography       Visual          Dodger video.
2017.08.19   1.5   V-OS                          Development       Visual          Styling changes.
2017.08.19   1.0   Various                       Maintenance       Abstract        Constellation changes, Constellation and Dodger pages, Github links update.
2017.08.18   1.0   Doodle                        3D                Visual          Material rendering.
2017.08.18   1.5   Study                         Research          Visual          3D scenery.
2017.08.17   0.5   Jam                           Composition       Audio           Ether Sphere composition.
2017.08.17   1.0   Study                         Research          Abstract        Cyberpunk narrative.
2017.08.17   1.0   DimoRat                       Development       Code            Player states, stamina, animations.
2017.08.16   0.5   DimoRat                       Development       Code            Player states, controls, stamina.
2017.08.16   3.0   Various                       Graphic           Visual          CV rework.
2017.08.15   0.5   Study                         Research          Abstract        Story of Genesis.
2017.08.14   0.5   V-OS                          Writing           Abstract        List sorting, page writing.
2017.08.14   1.0   DimoRat                       Development       Code            Player states.
2017.08.14   1.0   Di                            Graphic           Visual          Image editing.
2017.08.14   1.5   Di                            Modeling          Visual          Character modeling.
2017.08.14   0.5   V-OS                          Writing           Abstract        Visual tweaks, small writing fixes, small reorganization.
2017.08.13   1.0   DimoRat                       Development       Code            Main setup.
2017.08.12   0.5   Study                         Research          Abstract        Fighting systems.
2017.08.12   0.5   DimoRat                       Development       Code            Main setup.
2017.08.11   0.5   Jam                           Composition       Audio           Ether Sphere composition.
2017.08.11   0.5   Di                            Modeling          Visual          Character modeling.
2017.08.11   0.5   Doodle                        Illustration      Visual          Pixel art.
2017.08.11   0.0   AGD                           Event             Abstract        Camp end.
2017.08.11   3.5   AGD                           Development       Code            Game development help.
2017.08.10   0.5   The Cosmic Affliction         Maintenance       Abstract        Platform releases.
2017.08.10   0.5   DimoRat                       Design            Abstract        Theoretical game design.
2017.08.10   3.5   AGD                           Development       Code            Game development help.
2017.08.09   1.0   DimoRat                       Design            Abstract        Theoretical game design.
2017.08.09   2.5   AGD                           Development       Code            Game development help.
2017.08.09   1.0   AGD                           Research          Abstract        Teaching.
2017.08.08   1.0   DimoRat                       Design            Abstract        Theoretical game design.
2017.08.08   1.5   AGD                           Research          Abstract        Teaching.
2017.08.07   0.5   Jam                           Acoustic          Audio           Vocals.
2017.08.07   3.0   AGD                           Development       Code            Game development help.
2017.08.07   1.0   AGD                           Research          Abstract        Teaching.
2017.08.06   1.0   Jam                           Composition       Audio           Ether Sphere composition.
2017.08.05   2.0   Jam                           Composition       Audio           Ether Sphere composition.
2017.08.04   3.0   AGD                           Development       Code            Game development help.
2017.08.04   1.5   AGD                           Research          Abstract        Teaching.
2017.08.03   3.0   AGD                           Development       Code            Game development help.
2017.08.03   2.0   AGD                           Research          Abstract        Teaching.
2017.08.02   2.5   Sira                          Photography       Visual          Photo edits.
2017.08.02   0.5   V-OS                          Writing           Abstract        Small rewrites and styling tuning.
2017.08.02   1.5   AGD                           Research          Abstract        Teaching.
2017.08.02   3.5   AGD                           Development       Code            Example game and help.
2017.08.01   4.0   Di                            Modeling          Visual          Character modeling.
2017.08.01   3.0   AGD                           Research          Abstract        Teaching and brainstorming.
2017.08.01   1.5   AGD                           Development       Code            Example game and help.
2017.07.31   4.5   Di                            Modeling          Visual          Character modeling.
2017.07.31   3.5   AGD                           Research          Abstract        Teaching.
2017.07.31   1.5   AGD                           Development       Code            Example game and help.
2017.07.31   0.0   AGD                           Event             Abstract        Camp beginning.
2017.07.30   2.5   Di                            Modeling          Visual          Character modeling.
2017.07.29   0.5   Di                            3D                Visual          Character rendering.
2017.07.29   7.0   Di                            Modeling          Visual          Character modeling.
2017.07.29   3.0   Di                            Illustration      Visual          Character drawing.
2017.07.28   2.0   Di                            Writing           Abstract        Character writing.
2017.07.28   0.5   Study                         Research          Personal        Self-assessment.
2017.07.28   3.0   V-OS                          Writing           Abstract        Lifeset.
2017.07.28   0.5   Study                         Research          Audio           Sequencer electronic setup.
2017.07.27   0.5   V-OS                          Writing           Abstract        Lifeset.
2017.07.27   0.5   Study                         Research          Abstract        Effects of regular usage of pornography.
2017.07.26   1.5   V-OS                          Development       Code            Footer rework.
2017.07.26   0.5   V-OS                          Design            Visual          Footer rework.
2017.07.26   1.0   Sira                          Photography       Visual          Photo edits.
2017.07.26   1.0   Purity                        Development       Code            Small fixes, documentation, example site styling tuning.
2017.07.25   1.0   Study                         Research          Abstract        Head death life.
2017.07.25   2.5   Purity                        Development       Code            New formatting implementation, styling, documentation.
2017.07.25   0.5   Purity                        Design            Abstract        New formatting implementation.
2017.07.24   1.5   Sira                          Photography       Visual          Photo edits.
2017.07.24   0.5   Study                         Research          Abstract        Cryptocurrency.
2017.07.23   2.0   Sira                          Photography       Visual          Trip to Montreal's events.
2017.07.22   0.5   AGD                           Design            Abstract        Level design.
2017.07.22   0.5   AGD                           Writing           Code            Documentation.
2017.07.22   0.5   AGD                           Development       Code            Example game development.
2017.07.21   0.5   Rig                           Research          Personal        Streaming setup.
2017.07.21   2.5   AGD                           Composition       Audio           Soundtrack and sound effects.
2017.07.21   2.5   AGD                           Development       Code            Example game development.
2017.07.21   0.5   AGD                           Research          Visual          Asset research.
2017.07.20   0.5   Various                       Writing           Personal        CV update.
2017.07.20   1.5   AGD                           Development       Code            Example game development.
2017.07.20   2.5   The Cosmic Affliction         Writing           Abstract        Publishing.
2017.07.19   0.5   AGD                           Development       Code            Example game development.
2017.07.19   0.5   AGD                           Research          Code            Example game development.
2017.07.19   2.5   The Cosmic Affliction         Composition       Audio           Album tracks re-mixing.
2017.07.19   1.0   The Cosmic Affliction         Design            Audio           Album review.
2017.07.18   4.5   The Cosmic Affliction         Composition       Audio           Dark Dye composition.
2017.07.18   0.5   The Cosmic Affliction         Acoustic          Audio           Dark Dye sample recording.
2017.07.18   0.5   AGD                           Development       Code            Example game development.
2017.07.18   0.5   AGD                           Research          Code            Example game development.
2017.07.18   0.5   AGD                           Design            Abstract        Tutorial details planning.
2017.07.17   0.5   Doodle                        Photography       Visual          Self picture.
2017.07.17   0.5   The Cosmic Affliction         Composition       Audio           Dark Dye composition.
2017.07.17   2.0   Datum                         Development       Code            Movement system, core and parts physics.
2017.07.16   4.0   Datum                         Development       Code            Movement system, core and parts physics.
2017.07.16   1.5   The Cosmic Affliction         Composition       Audio           Dark Dye composition.
2017.07.15   2.0   Tinker                        Development       Code            Phone, tablet, and laptop debugging.
2017.07.15   1.0   Doodle                        Photography       Visual          Experimental self-portrait.
2017.07.15   0.5   Doodle                        Illustration      Visual          Experimental self-portrait.
2017.07.15   0.5   Jam                           Acoustic          Audio           Guitar.
2017.07.15   2.0   AGD                           Development       Code            Example game development.
2017.07.15   0.5   The Cosmic Affliction         Composition       Audio           Strider snare and mix fixes.
2017.07.14   0.5   The Cosmic Affliction         Design            Audio           Album review.
2017.07.14   1.0   Doodle                        Photography       Visual          Long walk outing.
2017.07.14   1.5   AGD                           Development       Code            Example game development.
2017.07.14   0.5   The Cosmic Affliction         Composition       Audio           Dark Dye composition.
2017.07.13   1.5   Doodle                        Photography       Visual          Lowe outing pictures editing.
2017.07.13   0.5   The Cosmic Affliction         Composition       Audio           Dark Dye composition.
2017.07.13   0.5   V-OS                          Development       Visual          Small visual tweaks across V-OS network.
2017.07.12   0.5   Jam                           Acoustic          Audio           Guitar and vocals.
2017.07.12   2.5   AGD                           Writing           Abstract        Lecture presentation writing.
2017.07.11   0.5   AGD                           Writing           Abstract        Lecture presentation writing.
2017.07.10   1.0   Datum                         Development       Code            Movement system.
2017.07.10   0.5   The Cosmic Affliction         Design            Audio           Album review.
2017.07.10   0.5   AGD                           Writing           Abstract        Lecture presentation writing.
2017.07.09   0.5   Study                         Research          Abstract        Storytelling in games.
2017.07.09   2.0   AGD                           Writing           Abstract        Lecture presentation writing.
