#Task Types

Research                    Learning, Testing, and Studying
Design                      Project Planning and Organization
Development                 Programming, Testing, and Debugging
Graphic                     2D Graphic Development
Illustration                Drawing
3D                          Generating, Texturing, Lighting, and Rendering
Modeling                    Modeling, Sculpting, Rigging, and Animating
Audio                       Composing, Producing, and Mixing
Acoustic                    Instrument Play
Recording                   Audio Recording
Performance                 Audio and Visual Performance
Filming                     Video Filming
Photography                 Photography
Editing                     Video and Photo Editing
Writing                     Narrative, Storytelling, and Research
Documentation               Project Documentation
Linguistics                 Language Development
Maintenance                 Personal Organization and Maintenance
Event                       Noteworthy Event

#Log

DATE            TIME        PROJECT                             TASK                DETAILS
2017.03.25      2.0         Elyium                              Development         Interface refactoring.
2017.03.24      1.0         V-OS                                Writing             Temporalis and verse writing.
2017.03.24      0.5         Jam                                 Acoustic            Recording experimentation, minor vocals practice.
2017.03.24      0.5         V-OS                                Documentation       CloudCrusher (SkyCandy) documentation and V-OS page.
2017.03.24      2.0         Elyium                              Development         Entity spawning system.
2017.03.23      1.5         Study                               Writing             Body and embodiment in new media.
2017.03.23      2.0                                             Research            Arduino help/teaching.
2017.03.22      2.0                                             Documentation       Obx site population with documentation data.
2017.03.22      1.5         V-OS                                Writing             Writing, titles, personal page, site structure, CV rework.
2017.03.22      0.5         VisN                                Documentation       V-OS page.
2017.03.21      0.5         Study                               Audio               Composition and experimentation.
2017.03.21      0.5         Study                               Research            Body and embodiment in new media.
2017.03.20      0.5         Study                               Graphic             SAVE_ME and SAVE_ME : [PATHFINDER] graphic image.
2017.03.20      0.5         Study                               Illustration        Drawing practice.
2017.03.19      0.5         Study                               Development         Particle system desert in Processing.
2017.03.19      0.5         Study                               Design              Particle system desert in Processing.
2017.03.18      1.5         Interactive Narratives              Writing             Narrative in interactive media research.
2017.03.18      1.0         Interactive Narratives              Research            Narrative design implementation study.
2017.03.17      1.5         Interactive Narratives              Writing             Narrative in interactive media research.
2017.03.17      1.0         Interactive Narratives              Research            Narrative design implementation study.
2017.03.16      1.5         Drone Dreams                        Development         Setup shared visualizer.
2017.03.15      0.5         Log                                 Design              Log organization, task types research and expansion.
2017.03.15      2.5         Study                               Graphic             Collage experimentation.
2017.03.15      1.0         Elyium                              Development         Refactoring, documentation, logic tuning.
2017.03.15      0.5         Study                               Research            Networks in new media.
2017.03.14      6.0         Log                                 Development         Details page, navigation, page flow logic, styling.
2017.03.13      6.0         Log                                 Development         Projects page, logs page, navigation.
2017.03.12      1.0         V-OS                                Documentation       Log integration.
2017.03.12      1.0         Log                                 Graphic             Log logo.
2017.03.12      8.0         Log                                 Development         Web development, SQL connectivity, tasks page, and V-OS page.
2017.03.11      1.0         Jam                                 Acoustic            Guitar practice.
2017.03.11      1.0         V-OS                                Design              Preparation for logging tool page.
2017.03.11      2.0         Log                                 Graphic             Interface design.
2017.03.11      2.0         Log                                 Design              Log organization.
2017.03.10      2.5         Log                                 Graphic             Interface design.
2017.03.10      2.0         Log                                 Development         Text parsing design and development.
2017.03.10      2.5         Log                                 Design              Database design and development.
2017.03.10      0.5         Drone Dreams                        Documentation       Documentation and V-OS page.
2017.03.10      0.5         Elyium                              Development         Interface refactoring.
2017.03.10      1.0         Jam                                 Acoustic            Guitar practice.
2017.03.09      1.0         Jam                                 Acoustic            Guitar practice.
2017.03.09      4.0         Drone Dreams                        Development         PureData debugging, testing, communication system finalization.
2017.03.09      0.5         Study                               Research            Artificial intelligence.
2017.03.08      3.5         Drone Dreams                        Development         Communication system development.
2017.03.07      3.5         Study                               Writing             Noise and communication theory.
2017.03.07      1.0         Drone Dreams                        Research            NodeJS and server research.
2017.03.07      0.5         Jam                                 Acoustic            Guitar practice.
2017.03.07      2.0         Quro                                Editing             Edit and upload Quro video.
2017.03.07      0.5                                             Graphic             Script edits.
2017.03.06      2.0                                             Graphic             Rework script and create font.
2017.03.06      0.5         Study                               Research            Cybernetics.
2017.03.05      0.5                                             Design              Game design curriculum finalization.
2017.03.05      4.0         Drone Dreams                        Development         PureData patch development.
2017.03.05      0.5         Drone Dreams                        Research            PureData research.
2017.03.05      1.0         Jam                                 Acoustic            Guitar practice.
2017.03.05      1.0         Rig                                 Maintenance         Update backup.
2017.03.04      0.5         Drone Dreams                        Graphic             Ven logo creation.
2017.03.04      4.0         Drone Dreams                        Development         NodeJS setup, server and interface development.
2017.03.03      1.0         Drone Dreams                        Research            Tools research.
2017.03.02      0.5         Elyium                              Graphic             Icons and interface elements creation.
2017.03.02      1.5         Quro                                Filming             Quro video footage collection.
2017.03.01      7.0         Elyium                              Development         Narrative interfacing, data structure refinement, conditional conflicts development.
2017.02.28      0.5         V-OS                                Documentation       Documentation rewrite.
2017.02.28      1.5         V-OS                                Design              Project reorganization.
2017.02.28      0.5         Study                               Illustration        Drawing practice.
2017.02.28      3.0         Elyium                              Documentation       Commentary and additional documentation.
2017.02.27      1.0         Log                                 Research            MySQL study.
2017.02.27      0.5                                             Research            Rendering study.
2017.02.27      1.5         Study                               Illustration        Drawing practice.
2017.02.27      0.5         Study                               Research            Interaction in new media.
2017.02.26      2.0         Elyium                              Development         Interface expansion.
2017.02.26      2.0                                             Graphic             Identity design visual review.
2017.02.25      5.0                                             Graphic             Identity logo design and creation.
2017.02.25      1.0         Quro                                Filming             Quro video footage collection.
2017.02.24      3.0                                             3D                  Rendering research and experimentation.
2017.02.24      0.0                                             Event               Interview for accelerated game design camp teaching job.
2017.02.23      3.0                                             3D                  Micropolygon displacement, lighting and rendering.
2017.02.23      0.5         V-OS                                Design              Aesthetic experimentation.
2017.02.23      1.0         Elyium                              Writing             V-OS page.
2017.02.23      1.5         Elyium                              Graphic             Visual identity design.
2017.02.23      2.0                                             Development         Unreal engine problem solving.
2017.02.23      3.0         VisN                                Development         Camera FoV script and HTC Vive port.
2017.02.22      2.0         V-OS                                Writing             V-OS narrative rewrite.
2017.02.22      0.5                                             Research            Micropolygon displacement research.
2017.02.21      1.5                                             Research            Micropolygon displacement research.
2017.02.21      0.5         Elyium                              Design              Interface design.
2017.02.21      1.5                                             3D                  Materials creation, lighting and rendering.
2017.02.20      3.5         Elyium                              Development         Data structure creation.
2017.02.20      5.0         Study                               Research            Blender material system research.
2017.02.20      1.0         Study                               Illustration        Illustration practice with odd brushes.
2017.02.19      0.5         Study                               Research            Blender material system nodes research.
2017.02.19      4.0         Elyium                              Development         Database, narrative, and interface development.
2017.02.18      2.5         Elyium                              Design              Database and narrative system redesign.
2017.02.18      0.5         Ontologica                          Documentation       Documentation and V-OS page.
2017.02.17      5.0         Ontologica                          Editing             Film and edit video, develop Ontologica environment.
2017.02.16      1.5                                             Development         Web development for Obx.
2017.02.16      2.0                                             Development         Physics development, balancing, and documentation of Processing game.
2017.02.16      2.0         V-OS                                Development         Bugfixing, aesthetic changes.
2017.02.15      1.0         V-OS                                Development         Bugfixes, optimizations.
2017.02.15      2.0                                             Development         Website template for Obx.
2017.02.15      3.0         Study                               3D                  Blender experimentation.
2017.02.14      5.0         Study                               3D                  Blender experimentation.
2017.02.14      3.0                                             Development          Experimental game dev in Processing.
2017.02.13      0.5         Ontologica                          Design              Concept expansion and discussion.
2017.02.13      0.5         Study                               Research            Information, noise, and communication theory.
2017.02.12      0.5         VisN                                Writing             Add more poetry to level.
2017.02.12      3.0         Elyium                              Development         Interface development.
2017.02.12      1.0         Jam                                 Audio               Composition and experimentation.
2017.02.12      1.5                                             Design              Add tree, better particle effects, better post-processing effects for desert landscape.
2017.02.11      3.5         Jam                                 Audio               Composition and experimentation.
2017.02.10      2.0         Jam                                 Audio               Composition and experimentation.
2017.02.10      3.5         Elyium                              Development         Connecting modules, interface development, and database management.
2017.02.10      0.5         Elyium                              Graphic             Interface design.
2017.02.10      0.5         Quro                                Filming             Record video samples.
2017.02.09      0.5         Jam                                 Audio               Composition and experimentation.
2017.02.08      0.5         Elyium                              Design              Database design.
2017.02.08      4.0                                             Development         Unreal 4 scene development and experimentation.
2017.02.08      1.5         VisN                                Development         Gimbal lock research, frame system development.
2017.02.07      5.0         Elyium                              Design              Narrative generation system design.
2017.02.06      1.0         Ontologica                          Development         Refine level, add environment animation.
2017.02.06      0.5         Study                               Research            Computation in new media.
2017.02.05      4.0         Elyium                              Design              Further development and design for narrative generation.
2017.02.05      2.5         Study                               Acoustic            Guitar practice, sound experimentation.
2017.02.05      1.0         Ontologica                          Development         Rebuild level in Unreal.
2017.02.04      9.0         Elyium                              Development         Preliminary infrastructure development, image-to-ascii algorithm.
2017.02.04      1.0         VisN                                Audio               Edit Mantycore reading, add to Unity scene.
2017.02.03      4.5         VisN                                Development         VisN development in Unity.
2017.02.03      2.0         V-OS                                Writing             V-OS writing edit, extra organization, Nihilim and Technomancers pages.
2017.02.03      3.0         Rig                                 Maintenance         Install programs on fresh OS.
2017.02.02      2.0         Elyium                              Development         Accelorometer and location data gathering.
2017.02.02      2.0         Study                               Linguistics         Research language composition and construction.
2017.02.01      2.0                                             Graphic             Develop shorthand script for personal use.
2017.02.01      1.5         Rig                                 Maintenance         Reinstall desktop PC.
2017.01.31      4.0         Study                               Development         Video processing in Processing.
2017.01.31      1.0         VisN                                Research            Unique typography research.
2017.01.30      1.5                                             Linguistics         Develop more sophisticated name generation for name system, experiment with language.
2017.01.30      0.5         Study                               Research            Medium and media studies.
2017.01.29      1.0                                             Development         Design and develop simple name generation system.
2017.01.29      1.0         Study                               Research            Ruby study.
2017.01.28      2.0         Study                               Research            Ruby study.
2017.01.28      1.0         VisN                                3D                  Cinema4D sketches for Obx.
2017.01.28      0.0                                             Event               SSD died.
2017.01.27      2.5         Ontologica                          Development         Ontologica UE4 prototype development.
2017.01.27      1.5         VisN                                3D                  Cinema4D sketches for Obx.
2017.01.26      1.0         Elyium                              Design              Database structure research and design.
2017.01.25      0.5                                             Graphic             Logo design.
2017.01.24      2.0         Elyium                              Design              Infrastructure research and design.
2017.01.24      1.0         V-OS                                Design              V-OS mail setup, profile cleanup.              
2017.01.23      0.5                                             Graphic             Atmos remaster.
2017.01.23      1.5         Study                               Research            Simulation, simulacra, and materiality.
2017.01.22      3.0         Quro                                Graphic             Quro cover art.
2017.01.22      2.0         V-OS                                Writing             V-OS Quro page and projects narrative rewrite.
2017.01.22      0.0                                             Event               Joined Merveilles.
2017.01.21      3.5         Study                               Development         Image processing in Processing.
2017.01.21      1.0         Rig                                 Maintenance         Update backup.
2017.01.21      2.0         Quro                                Audio               Mixing and tuning.
2017.01.20      2.0         V-OS                                Documentation       ScopeOne documentation and V-OS verse writing.
2017.01.19      3.0         Study                               Research            Pixel sorting and vector math.
2017.01.19      0.0                                             Event               Begin time tracking seriously.
2017.01.18      6.0         Quro                                Audio               Composition and mixing.
2017.01.17      2.5         Quro                                Recording           Recording room sounds for soundscape samples.
2017.01.16      0.5         Study                               Research            Image and representation in new media.
2017.01.04      5.0         V-OS                                Development         PHP page generation system expansion.
2017.01.02      4.0         V-OS                                Development         Bugfixes, PHP optimization and refactoring.
2017.01.02      0.0                                             Event               Purchase v-os.ca.
